PrimaryKey,Sire,Dam,Sex,Color,Year,Details,URL,Horse Name,Generation,LoadURL,,,
colonial+family+three,,,M,,,"COLONIAL FAMILY THREE M, {C3} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+three,COLONIAL FAMILY THREE,0,TRUE,1,,
colonial+family+twenty,,,M,,,"COLONIAL FAMILY TWENTY M, {C20} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+twenty,COLONIAL FAMILY TWENTY,0,True,,,
colonial+family+twenty+five,,,M,,,"COLONIAL FAMILY TWENTY FIVE M, {C25} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+twenty+five,COLONIAL FAMILY TWENTY FIVE,0,True,,,
colonial+family+twenty+nine,,,M,,,"COLONIAL FAMILY TWENTY NINE M, {C29} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+twenty+nine,COLONIAL FAMILY TWENTY NINE,0,True,,,
colonial+family+twenty+six,,,M,,,"COLONIAL FAMILY TWENTY SIX M, {C26} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+twenty+six,COLONIAL FAMILY TWENTY SIX,0,True,,,
colonial+family+two,,,M,,,"COLONIAL FAMILY TWO M, {C2} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/colonial+family+two,COLONIAL FAMILY TWO,0,True,,,
dictator+mare,dictator2,royal+oak+mare,M,,,"DICTATOR MARE (USA) M, { } DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/dictator+mare,DICTATOR MARE (USA),0,True,,,
duke+of+bedford,bedford2,voltaire+mare3,C,b,,"DUKE OF BEDFORD  (USA) b. C, { } DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/duke+of+bedford,DUKE OF BEDFORD  (USA),0,True,1,,
family+number+eleven,,,M,,,FAMILY NUMBER ELEVEN ,https://www.pedigreequery.com/family+number+eleven,FAMILY NUMBER ELEVEN,2,,1,,
family+number+fifty+four,,,M,,,"FAMILY NUMBER FIFTY FOUR M, {54} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+four,FAMILY NUMBER FIFTY FOUR,0,TRUE,1,,
family+number+fifty+seven,,,M,,,"FAMILY NUMBER FIFTY SEVEN M, {57} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+seven,FAMILY NUMBER FIFTY SEVEN,0,TRUE,1,,
family+number+fifty+six,,,M,,,"FAMILY NUMBER FIFTY SIX M, {56} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+six,FAMILY NUMBER FIFTY SIX,0,TRUE,1,,
family+number+fifty+three,,,M,,,"FAMILY NUMBER FIFTY THREE M, {53} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+three,FAMILY NUMBER FIFTY THREE,0,TRUE,1,,
family+number+fifty+two,,,M,,,"FAMILY NUMBER FIFTY TWO M, {52} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+fifty+two,FAMILY NUMBER FIFTY TWO,0,TRUE,1,,
family+number+five,,,M,,,"FAMILY NUMBER FIVE M, {5} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+five,FAMILY NUMBER FIVE,0,TRUE,1,,
family+number+forty,,,M,,,"FAMILY NUMBER FORTY M, {40} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty,FAMILY NUMBER FORTY,0,TRUE,1,,
family+number+forty+eight,,,M,,,"FAMILY NUMBER FORTY EIGHT  M, {48} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty+eight,FAMILY NUMBER FORTY EIGHT,0,TRUE,1,,
family+number+forty+four,,,M,,,"FAMILY NUMBER FORTY FOUR M, {44} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty+four,FAMILY NUMBER FORTY FOUR,0,TRUE,1,,
family+number+forty+six,,,M,,,"FAMILY NUMBER FORTY SIX M, {46} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty+six,FAMILY NUMBER FORTY SIX,0,TRUE,1,,
family+number+forty+three,,,M,,,"FAMILY NUMBER FORTY THREE M, {43} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty+three,FAMILY NUMBER FORTY THREE,0,TRUE,1,,
family+number+forty+two,,,M,,,"FAMILY NUMBER FORTY TWO M, {42} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+forty+two,FAMILY NUMBER FORTY TWO,0,TRUE,1,,
family+number+four,,,M,,,"FAMILY NUMBER FOUR M, {4} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+four,FAMILY NUMBER FOUR,0,TRUE,1,,
family+number+nine,,,M,,,"FAMILY NUMBER NINE M, {9} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+nine,FAMILY NUMBER NINE,0,TRUE,1,,
family+number+seven,,,M,,,"FAMILY NUMBER SEVEN M, {7} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seven,FAMILY NUMBER SEVEN,0,TRUE,1,,
family+number+seventy,,,M,,,"FAMILY NUMBER SEVENTY M, {70} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventy,FAMILY NUMBER SEVENTY,0,TRUE,1,,
family+number+seventy+five,,,M,,,"FAMILY NUMBER SEVENTY FIVE M, {75} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventy+five,FAMILY NUMBER SEVENTY FIVE,0,TRUE,1,,
family+number+seventy+four,,,M,,,"FAMILY NUMBER SEVENTY FOUR M, {74} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventy+four,FAMILY NUMBER SEVENTY FOUR,0,True,,,
family+number+seventy+six,,,M,,,"FAMILY NUMBER SEVENTY SIX M, {76} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventy+six,FAMILY NUMBER SEVENTY SIX,0,TRUE,1,,
family+number+seventy+two,,,M,,,"FAMILY NUMBER SEVENTY TWO M, {72} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+seventy+two,FAMILY NUMBER SEVENTY TWO,0,TRUE,1,,
family+number+sixty,,,M,,,"FAMILY NUMBER SIXTY M, {60} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty,FAMILY NUMBER SIXTY,0,TRUE,1,,
family+number+sixty+five,,,M,,,"FAMILY NUMBER SIXTY FIVE M, {65} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty+five,FAMILY NUMBER SIXTY FIVE,0,True,,,
family+number+sixty+four,,,M,,,"FAMILY NUMBER SIXTY FOUR M, {64} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty+four,FAMILY NUMBER SIXTY FOUR,0,True,,,
family+number+sixty+seven,,,M,,,"FAMILY NUMBER SIXTY SEVEN M, {67} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty+seven,FAMILY NUMBER SIXTY SEVEN,0,TRUE,1,,
family+number+sixty+six,,,M,,,"FAMILY NUMBER SIXTY SIX M, {66} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty+six,FAMILY NUMBER SIXTY SIX,0,True,,,
family+number+sixty+two,,,M,,,"FAMILY NUMBER SIXTY TWO M, {62} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+sixty+two,FAMILY NUMBER SIXTY TWO,0,TRUE,1,,
family+number+thirty,,,M,,,"FAMILY NUMBER THIRTY M, {30} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+thirty,FAMILY NUMBER THIRTY,0,TRUE,1,,
family+number+thirty+eight,,,M,,,"FAMILY NUMBER THIRTY EIGHT M, {38} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+thirty+eight,FAMILY NUMBER THIRTY EIGHT,0,TRUE,1,,
family+number+thirty+five,,,M,,,"FAMILY NUMBER THIRTY FIVE M, {35} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+thirty+five,FAMILY NUMBER THIRTY FIVE,0,TRUE,1,,
family+number+thirty+four,,,M,,,"FAMILY NUMBER THIRTY FOUR M, {34} DP = 0-0-0-0-0 (0) DI = Inf   CD = Inf ",https://www.pedigreequery.com/family+number+thirty+four,FAMILY NUMBER THIRTY FOUR,0,TRUE,1,,
